title,artist,genre,year,salesPoint,category,country,currency,previewUrl,artworkUrl,trackViewUrl
REDRED,코르티스,KPOP,2026,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b9/a9/23/b9a92352-f4a2-fd4e-c2de-4985bc38133c/mzaf_7598194542973128311.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/9b/5f/47/9b5f4711-dc78-2dea-6721-d06709ea5121/198704992810_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/redred/1887671065?i=1887671067&uo=4
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",KPOP,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/4a/9d/a1/4a9da1c4-096f-8f45-4a3b-c883c45ca451/mzaf_3059921854949935161.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e1/15/42/e1154273-8ecd-5702-e6e6-597f28001681/25UMGIM82363.rgb.jpg/100x100bb.jpg,https://music.apple.com/kr/album/golden/1820264137?i=1820264150&uo=4
toxic till the end,로제,KPOP,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/6f/bd/d8/6fbdd87e-c958-74d6-3215-633bcc550654/mzaf_17183830555505448544.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/4d/cb/54/4dcb5453-7493-cd68-81f8-fc7ae28101ce/8800287299416_cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/toxic-till-the-end/1783280221?i=1783280225&uo=4
ELEVEN,아이브,KPOP,2021,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/8e/03/cb/8e03cbac-abc9-248c-a739-d01ccde2540b/mzaf_4435610194734657545.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/d3/63/4a/d3634a37-8dd2-8fc6-d138-895b3d237611/IVE_OnlineCover_fix.jpg/100x100bb.jpg,https://music.apple.com/kr/album/eleven/1597404250?i=1597404252&uo=4
APT.,로제 & Bruno Mars,KPOP,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/95/79/f5/9579f50e-ac47-1e43-acab-d422cbe17a21/mzaf_12002777810095615569.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d8/3c/e4/d83ce45f-3d8c-ba71-aaec-a98e8eeabe7d/075679628138_cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/apt/1773917063?i=1773917064&uo=4
It's Me,아일릿,KPOP,2026,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/08/ae/11/08ae11aa-40b1-231d-4013-12ca6de70701/mzaf_12606446026212796138.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/db/56/04/db5604ab-c7f4-b982-8c76-98ee766ac294/823375069195_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/its-me/1887194024?i=1887194026&uo=4
첫 만남은 계획대로 되지 않아,투어스,KPOP,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ac/8d/97/ac8d9717-2bbf-b1bf-b2e9-476feea6a480/mzaf_11615065500455071115.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/17/bb/d4/17bbd45f-fee7-a9dd-ff01-e7b174cc1462/196922759543_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EC%B2%AB-%EB%A7%8C%EB%82%A8%EC%9D%80-%EA%B3%84%ED%9A%8D%EB%8C%80%EB%A1%9C-%EB%90%98%EC%A7%80-%EC%95%8A%EC%95%84/1723932647?i=1723932648&uo=4
마지막처럼,BLACKPINK,KPOP,2017,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/97/44/12/974412d8-624e-7a85-25b5-a4a0ac135299/mzaf_10160984043858145771.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/0b/d6/6e/0bd66efc-caba-41e0-7d84-c92e925b1d94/as_if_its_your_last.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EB%A7%88%EC%A7%80%EB%A7%89%EC%B2%98%EB%9F%BC/1251249729?i=1251249891&uo=4
거리에서,성시경,KPOP,2006,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/7f/cb/ae/7fcbae10-e463-ca59-2094-81cf875e199e/mzaf_3664734411788512450.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/21/7c/88/217c88ed-80bf-adfa-7cdf-a5c219daf9f7/8809784722939.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EA%B1%B0%EB%A6%AC%EC%97%90%EC%84%9C/1543850903?i=1543850904&uo=4
The Chase,Hearts2Hearts,KPOP,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/9d/7f/fb/9d7ffbed-b702-647e-a591-58700fcb4eb8/mzaf_29771823375578786.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/2b/0e/e8/2b0ee80e-eae3-aff6-9ca7-01cf7a830c78/888735951398.png/100x100bb.jpg,https://music.apple.com/kr/album/the-chase/1796402197?i=1796402200&uo=4
